Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.0,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1,2,Female,3,2,Sales Executive,4.0,Single,4936.0,8.0,Y,Yes,11,3,1,80,0,8.0,0,1,6,4,0,5
49.0,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,2,3,Male,2,2,Research Scientist,2.0,Married,5130.0,1.0,Y,No,23,4,4,80,1,10.0,3,3,10,7,1,7
37.0,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,4,Male,2,1,Laboratory Technician,3.0,Single,2090.0,6.0,Y,Yes,15,3,2,80,0,7.0,3,3,0,0,0,0
33.0,No,Travel_Frequently,Research & Development,3,4,Life Sciences,1,5,4,Female,3,1,Research Scientist,3.0,Married,2909.0,1.0,Y,Yes,11,3,3,80,0,8.0,3,3,8,7,3,0
27.0,No,Travel_Rarely,Research & Development,2,1,Medical,1,7,1,Male,3,1,Laboratory Technician,2.0,Married,3468.0,9.0,Y,No,12,3,4,80,1,6.0,3,3,2,2,2,2
32.0,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,8,4,Male,3,1,Laboratory Technician,4.0,Single,4936.0,0.0,Y,No,13,3,3,80,0,8.0,2,2,7,7,3,6
59.0,No,Travel_Rarely,Research & Development,3,3,Medical,1,10,3,Female,4,1,Laboratory Technician,1.0,Married,2670.0,4.0,Y,Yes,20,4,1,80,3,12.0,3,2,1,0,0,0
30.0,No,Travel_Rarely,Research & Development,24,1,Life Sciences,1,11,4,Male,3,1,Laboratory Technician,3.0,Divorced,2693.0,1.0,Y,No,22,4,2,80,1,1.0,2,3,1,0,0,0
38.0,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,12,4,Male,2,3,Manufacturing Director,3.0,Single,9526.0,0.0,Y,No,21,4,2,80,0,10.0,2,3,9,7,1,8
36.0,No,Travel_Rarely,Research & Development,27,3,Medical,1,13,3,Male,3,2,Healthcare Representative,3.0,Married,5237.0,6.0,Y,No,13,3,2,80,2,17.0,3,2,7,7,7,7
35.0,No,Travel_Rarely,Research & Development,16,3,Medical,1,14,1,Male,4,1,Laboratory Technician,3.0,Married,2426.0,0.0,Y,No,13,3,3,80,1,6.0,5,3,5,4,0,3
29.0,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,15,4,Female,2,2,Laboratory Technician,3.0,Single,4193.0,0.0,Y,Yes,12,3,4,80,0,10.0,3,3,9,5,0,8
31.0,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,16,1,Male,3,1,Research Scientist,3.0,Divorced,2911.0,1.0,Y,No,17,3,4,80,1,5.0,1,2,5,2,4,3
34.0,No,Travel_Rarely,Research & Development,19,2,Medical,1,18,2,Male,3,1,Laboratory Technician,4.0,Divorced,2661.0,0.0,Y,No,11,3,3,80,1,3.0,2,3,2,2,1,2
28.0,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,1,19,3,Male,2,1,Laboratory Technician,3.0,Single,4936.0,5.0,Y,Yes,14,3,2,80,0,6.0,4,3,4,2,0,3
,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,20,2,Female,4,3,Manufacturing Director,1.0,Divorced,4936.0,1.0,Y,No,11,3,3,80,1,10.0,1,3,10,9,8,8
32.0,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,21,1,Male,4,1,Research Scientist,2.0,Divorced,3298.0,0.0,Y,Yes,12,3,4,80,2,10.0,5,2,6,2,0,5
22.0,No,Non-Travel,Research & Development,16,2,Medical,1,22,4,Male,4,1,Laboratory Technician,4.0,Divorced,2935.0,1.0,Y,Yes,13,3,2,80,2,1.0,2,2,1,0,0,0
53.0,No,Travel_Rarely,Sales,2,4,Life Sciences,1,23,1,Female,2,4,Manager,4.0,Married,15427.0,2.0,Y,No,16,3,3,80,0,31.0,3,3,25,8,3,7
38.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,24,4,Male,3,1,Research Scientist,4.0,Single,3944.0,5.0,Y,Yes,11,3,3,80,0,6.0,3,3,3,2,1,2
24.0,No,Non-Travel,Research & Development,11,2,Other,1,26,1,Female,4,2,Manufacturing Director,3.0,Divorced,4011.0,0.0,Y,No,18,3,4,80,1,5.0,5,2,4,2,1,3
36.0,Yes,Travel_Rarely,Sales,9,4,Life Sciences,1,27,3,Male,2,1,Sales Representative,1.0,Single,3407.0,7.0,Y,No,23,4,2,80,0,10.0,4,3,5,3,0,3
34.0,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,28,1,Female,3,3,Research Director,2.0,Single,11994.0,0.0,Y,No,11,3,3,80,0,10.0,4,3,12,6,2,11
,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,30,3,Male,3,1,Sales Executive,,Single,1232.0,,Y,No,14,3,4,80,0,10.0,6,3,0,0,0,0
34.0,Yes,Travel_Rarely,Research & Development,6,1,Medical,1,31,2,Male,3,1,Research Scientist,1.0,Single,2960.0,2.0,Y,No,11,3,3,80,0,8.0,2,3,4,2,1,3
53.0,No,Travel_Rarely,Research & Development,5,3,Other,1,32,3,Female,3,5,Manager,3.0,Divorced,19094.0,4.0,Y,No,11,3,4,80,1,26.0,3,2,14,13,4,8
32.0,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,1,33,2,Female,1,1,Research Scientist,1.0,Single,3919.0,1.0,Y,Yes,22,4,2,80,0,10.0,5,3,10,2,6,7
42.0,No,Travel_Rarely,Sales,8,4,Marketing,1,35,3,Male,3,2,Sales Executive,2.0,Married,6825.0,0.0,Y,No,11,3,4,80,1,10.0,2,3,9,7,4,2
44.0,No,Travel_Rarely,Research & Development,7,4,Medical,1,36,1,Female,2,3,Healthcare Representative,4.0,Married,10248.0,3.0,Y,No,14,3,4,80,1,24.0,4,3,22,6,5,17
,No,Travel_Rarely,Sales,2,4,Marketing,1,38,2,Female,3,5,Manager,1.0,Single,18947.0,3.0,Y,No,12,3,4,80,0,22.0,2,2,2,2,2,1
33.0,No,Travel_Rarely,Research & Development,2,3,Medical,1,39,3,Male,3,1,Laboratory Technician,4.0,Single,2496.0,4.0,Y,No,11,3,4,80,0,10.0,3,3,1,1,0,0
44.0,No,Travel_Rarely,Research & Development,10,4,Other,1,40,4,Male,3,2,Sales Executive,4.0,Married,6465.0,,Y,Yes,13,3,4,80,0,9.0,5,4,4,2,1,3
30.0,No,Travel_Rarely,Research & Development,9,2,Medical,1,41,4,Male,2,1,Sales Executive,3.0,Single,2206.0,,Y,No,13,3,1,80,0,10.0,5,3,10,0,1,8
39.0,Yes,Travel_Rarely,Research & Development,5,3,Technical Degree,1,42,4,Male,3,2,Sales Representative,4.0,Married,4936.0,3.0,Y,No,14,3,3,80,1,19.0,6,4,1,0,0,0
24.0,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,45,2,Male,3,1,Research Scientist,4.0,Married,2293.0,2.0,Y,Yes,16,3,1,80,1,6.0,2,2,2,0,2,0
43.0,No,Travel_Rarely,Research & Development,2,2,Medical,1,46,4,Female,4,1,Research Scientist,3.0,Divorced,2645.0,1.0,Y,No,12,3,4,80,2,6.0,3,2,5,3,1,4
50.0,Yes,Travel_Rarely,Sales,3,2,Marketing,1,47,1,Male,2,1,Sales Executive,3.0,Married,2683.0,,Y,Yes,14,3,3,80,0,3.0,2,3,3,2,0,2
35.0,No,Travel_Rarely,Sales,2,3,Marketing,1,49,4,Female,3,1,Sales Representative,4.0,Married,2014.0,1.0,Y,No,13,3,1,80,0,10.0,3,3,2,2,2,2
36.0,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,51,2,Female,2,1,Research Scientist,1.0,Married,3419.0,9.0,Y,Yes,14,3,4,80,1,6.0,3,4,1,1,0,0
33.0,No,Travel_Frequently,Sales,1,3,Life Sciences,1,52,3,Female,4,2,Sales Executive,1.0,Married,5376.0,2.0,Y,No,19,3,1,80,2,10.0,3,3,5,3,1,3
35.0,No,Travel_Rarely,Research & Development,4,2,Other,1,53,3,Male,3,1,Laboratory Technician,4.0,Divorced,4936.0,1.0,Y,No,12,3,3,80,1,1.0,3,3,1,0,0,0
27.0,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,54,4,Female,3,1,Laboratory Technician,3.0,Divorced,2341.0,1.0,Y,No,13,3,4,80,1,1.0,6,3,1,0,0,0
26.0,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,55,1,Male,1,1,Laboratory Technician,3.0,Single,2293.0,1.0,Y,No,12,3,3,80,0,1.0,2,2,1,0,0,1
27.0,No,Travel_Frequently,Sales,8,3,Life Sciences,1,56,4,Male,3,3,Sales Executive,3.0,Single,8726.0,1.0,Y,No,15,3,4,80,0,9.0,0,3,9,8,1,7
,No,Travel_Frequently,Research & Development,1,2,Medical,1,57,3,Female,3,2,Laboratory Technician,4.0,Single,4011.0,1.0,Y,No,23,4,4,80,0,12.0,2,3,12,8,3,7
41.0,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,1,58,2,Female,3,5,Research Director,3.0,Married,4936.0,1.0,Y,No,12,3,4,80,0,23.0,0,3,22,15,15,8
34.0,No,Non-Travel,Sales,23,4,Marketing,1,60,2,Male,3,2,Sales Executive,3.0,Single,4568.0,0.0,Y,No,20,4,3,80,0,10.0,2,3,9,5,8,7
37.0,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,61,2,Male,3,1,Research Scientist,2.0,Married,4936.0,4.0,Y,No,21,4,1,80,0,8.0,1,3,1,0,0,0
46.0,No,Travel_Frequently,Sales,5,4,Marketing,1,62,1,Male,3,2,Sales Executive,4.0,Single,5772.0,4.0,Y,Yes,21,4,3,80,0,14.0,4,3,9,6,0,8
,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,63,4,Male,4,1,Laboratory Technician,4.0,Married,2269.0,1.0,Y,No,19,3,4,80,0,1.0,2,3,1,0,0,1
48.0,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,64,1,Male,2,3,Laboratory Technician,3.0,Single,5381.0,9.0,Y,Yes,13,3,4,80,0,23.0,2,3,1,0,0,0
,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,1,65,3,Male,3,1,Laboratory Technician,3.0,Single,4936.0,1.0,Y,Yes,13,3,3,80,0,2.0,3,2,2,2,2,2
44.0,No,Travel_Rarely,Research & Development,1,5,Marketing,1,68,2,Female,3,2,Sales Executive,1.0,Divorced,4936.0,5.0,Y,Yes,21,4,3,80,1,10.0,2,2,4,3,1,3
